Sample_ID,Group,Growth,Strain,Growth_Medium,Carbon_Source,Nitrogen_Source,Supplement,Description,File_Name,Gene_Sum,Source
r4,Rlim,0.4,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,8 µM chloramphenicol,Cloramphenicol (translational) inhibition,R4_S13_L001_R1_001.fastq,0.006221655,Rlim_N
r4_1,Rlim,0.28,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,8 µM chloramphenicol,Biological replicate of sample r4,R4_S14_L004_R1_001.fastq,0.000689987,Rlim_N
r5,Rlim,0.38,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,9 µM chloramphenicol,Cloramphenicol (translational) inhibition,R5_S14_L001_R1_001.fastq,0.005611603,Rlim_N
r0,Rlim,0.89,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,,NCM3722 (wild type) in MOPS medium,R0_S9_L001_R1_001.fastq,0.033671043,Rlim_O
r0_1,Rlim,0.91,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,,Biological replicate of sample r0,R0_S10_L004_R1_001.fastq,0.031937788,Rlim_O
r1,Rlim,0.71,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,2 µM chloramphenicol,Cloramphenicol (translational) inhibition,R1_S10_L001_R1_001.fastq,0.029676763,Rlim_O
r1_1,Rlim,0.61,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,2 µM chloramphenicol,Biological replicate of sample r1,R1_S11_L004_R1_001.fastq,0.025792234,Rlim_O
r2,Rlim,0.53,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,4 µM chloramphenicol,Cloramphenicol (translational) inhibition,R2_S11_L001_R1_001.fastq,0.027554739,Rlim_O
r2_1,Rlim,0.44,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,4 µM chloramphenicol,Biological replicate of sample r2,R2_S12_L004_R1_001.fastq,0.025330962,Rlim_O
r3,Rlim,0.45,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,6 µM chloramphenicol,Cloramphenicol (translational) inhibition,R3_S12_L001_R1_001.fastq,0.027920399,Rlim_O
r3_1,Rlim,0.35,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,6 µM chloramphenicol,Biological replicate of sample r3,R3_S13_L004_R1_001.fastq,0.025529208,Rlim_O
r4,Rlim,0.4,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,8 µM chloramphenicol,Cloramphenicol (translational) inhibition,R4_S13_L001_R1_001.fastq,0.028955202,Rlim_O
r4_1,Rlim,0.28,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,8 µM chloramphenicol,Biological replicate of sample r4,R4_S14_L004_R1_001.fastq,0.024285073,Rlim_O
r5,Rlim,0.38,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,9 µM chloramphenicol,Cloramphenicol (translational) inhibition,R5_S14_L001_R1_001.fastq,0.02847344,Rlim_O
r0,Rlim,0.89,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,,NCM3722 (wild type) in MOPS medium,R0_S9_L001_R1_001.fastq,0.027413094,Rlim_P
r0_1,Rlim,0.91,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,,Biological replicate of sample r0,R0_S10_L004_R1_001.fastq,0.026374474,Rlim_P
r1,Rlim,0.71,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,2 µM chloramphenicol,Cloramphenicol (translational) inhibition,R1_S10_L001_R1_001.fastq,0.023224601,Rlim_P
r1_1,Rlim,0.61,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,2 µM chloramphenicol,Biological replicate of sample r1,R1_S11_L004_R1_001.fastq,0.019932314,Rlim_P
r2,Rlim,0.53,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,4 µM chloramphenicol,Cloramphenicol (translational) inhibition,R2_S11_L001_R1_001.fastq,0.018880707,Rlim_P
r2_1,Rlim,0.44,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,4 µM chloramphenicol,Biological replicate of sample r2,R2_S12_L004_R1_001.fastq,0.016387977,Rlim_P
r3,Rlim,0.45,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,6 µM chloramphenicol,Cloramphenicol (translational) inhibition,R3_S12_L001_R1_001.fastq,0.017822325,Rlim_P
r3_1,Rlim,0.35,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,6 µM chloramphenicol,Biological replicate of sample r3,R3_S13_L004_R1_001.fastq,0.016597994,Rlim_P
r4,Rlim,0.4,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,8 µM chloramphenicol,Cloramphenicol (translational) inhibition,R4_S13_L001_R1_001.fastq,0.017643373,Rlim_P
r4_1,Rlim,0.28,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,8 µM chloramphenicol,Biological replicate of sample r4,R4_S14_L004_R1_001.fastq,0.014630732,Rlim_P
r5,Rlim,0.38,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,9 µM chloramphenicol,Cloramphenicol (translational) inhibition,R5_S14_L001_R1_001.fastq,0.017171574,Rlim_P
r0,Rlim,0.89,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,,NCM3722 (wild type) in MOPS medium,R0_S9_L001_R1_001.fastq,0.002286796,Rlim_Q
r0_1,Rlim,0.91,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,,Biological replicate of sample r0,R0_S10_L004_R1_001.fastq,0.002231849,Rlim_Q
r1,Rlim,0.71,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,2 µM chloramphenicol,Cloramphenicol (translational) inhibition,R1_S10_L001_R1_001.fastq,0.001618911,Rlim_Q
r1_1,Rlim,0.61,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,2 µM chloramphenicol,Biological replicate of sample r1,R1_S11_L004_R1_001.fastq,0.001545357,Rlim_Q
r2,Rlim,0.53,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,4 µM chloramphenicol,Cloramphenicol (translational) inhibition,R2_S11_L001_R1_001.fastq,0.001447914,Rlim_Q
r2_1,Rlim,0.44,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,4 µM chloramphenicol,Biological replicate of sample r2,R2_S12_L004_R1_001.fastq,0.001351565,Rlim_Q
r3,Rlim,0.45,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,6 µM chloramphenicol,Cloramphenicol (translational) inhibition,R3_S12_L001_R1_001.fastq,0.001300697,Rlim_Q
r3_1,Rlim,0.35,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,6 µM chloramphenicol,Biological replicate of sample r3,R3_S13_L004_R1_001.fastq,0.001365262,Rlim_Q
r4,Rlim,0.4,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,8 µM chloramphenicol,Cloramphenicol (translational) inhibition,R4_S13_L001_R1_001.fastq,0.001369569,Rlim_Q
r4_1,Rlim,0.28,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,8 µM chloramphenicol,Biological replicate of sample r4,R4_S14_L004_R1_001.fastq,0.001237175,Rlim_Q
r5,Rlim,0.38,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,9 µM chloramphenicol,Cloramphenicol (translational) inhibition,R5_S14_L001_R1_001.fastq,0.001447974,Rlim_Q
r0,Rlim,0.89,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,,NCM3722 (wild type) in MOPS medium,R0_S9_L001_R1_001.fastq,0.008421351,Rlim_R
r0_1,Rlim,0.91,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,,Biological replicate of sample r0,R0_S10_L004_R1_001.fastq,0.008482725,Rlim_R
r1,Rlim,0.71,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,2 µM chloramphenicol,Cloramphenicol (translational) inhibition,R1_S10_L001_R1_001.fastq,0.006968061,Rlim_R
r1_1,Rlim,0.61,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,2 µM chloramphenicol,Biological replicate of sample r1,R1_S11_L004_R1_001.fastq,0.006549576,Rlim_R
r2,Rlim,0.53,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,4 µM chloramphenicol,Cloramphenicol (translational) inhibition,R2_S11_L001_R1_001.fastq,0.006240425,Rlim_R
r2_1,Rlim,0.44,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,4 µM chloramphenicol,Biological replicate of sample r2,R2_S12_L004_R1_001.fastq,0.005960814,Rlim_R
r3,Rlim,0.45,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,6 µM chloramphenicol,Cloramphenicol (translational) inhibition,R3_S12_L001_R1_001.fastq,0.00605211,Rlim_R
r3_1,Rlim,0.35,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,6 µM chloramphenicol,Biological replicate of sample r3,R3_S13_L004_R1_001.fastq,0.00618212,Rlim_R
r4,Rlim,0.4,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,8 µM chloramphenicol,Cloramphenicol (translational) inhibition,R4_S13_L001_R1_001.fastq,0.006350823,Rlim_R
r4_1,Rlim,0.28,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,8 µM chloramphenicol,Biological replicate of sample r4,R4_S14_L004_R1_001.fastq,0.005709211,Rlim_R
r5,Rlim,0.38,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,9 µM chloramphenicol,Cloramphenicol (translational) inhibition,R5_S14_L001_R1_001.fastq,0.00627401,Rlim_R
r0,Rlim,0.89,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,,NCM3722 (wild type) in MOPS medium,R0_S9_L001_R1_001.fastq,0.011468626,Rlim_S
r0_1,Rlim,0.91,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,,Biological replicate of sample r0,R0_S10_L004_R1_001.fastq,0.01297137,Rlim_S
r1,Rlim,0.71,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,2 µM chloramphenicol,Cloramphenicol (translational) inhibition,R1_S10_L001_R1_001.fastq,0.009886024,Rlim_S
r1_1,Rlim,0.61,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,2 µM chloramphenicol,Biological replicate of sample r1,R1_S11_L004_R1_001.fastq,0.008996505,Rlim_S
r2,Rlim,0.53,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,4 µM chloramphenicol,Cloramphenicol (translational) inhibition,R2_S11_L001_R1_001.fastq,0.008556106,Rlim_S
r2_1,Rlim,0.44,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,4 µM chloramphenicol,Biological replicate of sample r2,R2_S12_L004_R1_001.fastq,0.008491304,Rlim_S
r3,Rlim,0.45,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,6 µM chloramphenicol,Cloramphenicol (translational) inhibition,R3_S12_L001_R1_001.fastq,0.008644868,Rlim_S
r3_1,Rlim,0.35,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,6 µM chloramphenicol,Biological replicate of sample r3,R3_S13_L004_R1_001.fastq,0.008655397,Rlim_S
r4,Rlim,0.4,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,8 µM chloramphenicol,Cloramphenicol (translational) inhibition,R4_S13_L001_R1_001.fastq,0.008983227,Rlim_S
r4_1,Rlim,0.28,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,8 µM chloramphenicol,Biological replicate of sample r4,R4_S14_L004_R1_001.fastq,0.008227468,Rlim_S
r5,Rlim,0.38,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,9 µM chloramphenicol,Cloramphenicol (translational) inhibition,R5_S14_L001_R1_001.fastq,0.008996127,Rlim_S
r0,Rlim,0.89,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,,NCM3722 (wild type) in MOPS medium,R0_S9_L001_R1_001.fastq,0.02979686,Rlim_T
r0_1,Rlim,0.91,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,,Biological replicate of sample r0,R0_S10_L004_R1_001.fastq,0.029673507,Rlim_T
r1,Rlim,0.71,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,2 µM chloramphenicol,Cloramphenicol (translational) inhibition,R1_S10_L001_R1_001.fastq,0.025468459,Rlim_T
r1_1,Rlim,0.61,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,2 µM chloramphenicol,Biological replicate of sample r1,R1_S11_L004_R1_001.fastq,0.021993188,Rlim_T
r2,Rlim,0.53,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,4 µM chloramphenicol,Cloramphenicol (translational) inhibition,R2_S11_L001_R1_001.fastq,0.020013271,Rlim_T
r2_1,Rlim,0.44,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,4 µM chloramphenicol,Biological replicate of sample r2,R2_S12_L004_R1_001.fastq,0.017588712,Rlim_T
r3,Rlim,0.45,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,6 µM chloramphenicol,Cloramphenicol (translational) inhibition,R3_S12_L001_R1_001.fastq,0.019223941,Rlim_T
r3_1,Rlim,0.35,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,6 µM chloramphenicol,Biological replicate of sample r3,R3_S13_L004_R1_001.fastq,0.015889276,Rlim_T
r4,Rlim,0.4,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,8 µM chloramphenicol,Cloramphenicol (translational) inhibition,R4_S13_L001_R1_001.fastq,0.018347767,Rlim_T
r4_1,Rlim,0.28,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,8 µM chloramphenicol,Biological replicate of sample r4,R4_S14_L004_R1_001.fastq,0.01462187,Rlim_T
r5,Rlim,0.38,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,9 µM chloramphenicol,Cloramphenicol (translational) inhibition,R5_S14_L001_R1_001.fastq,0.018249355,Rlim_T
r0,Rlim,0.89,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,,NCM3722 (wild type) in MOPS medium,R0_S9_L001_R1_001.fastq,0.012654627,Rlim_U
r0_1,Rlim,0.91,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,,Biological replicate of sample r0,R0_S10_L004_R1_001.fastq,0.011251406,Rlim_U
r1,Rlim,0.71,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,2 µM chloramphenicol,Cloramphenicol (translational) inhibition,R1_S10_L001_R1_001.fastq,0.016186434,Rlim_U
r1_1,Rlim,0.61,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,2 µM chloramphenicol,Biological replicate of sample r1,R1_S11_L004_R1_001.fastq,0.018443811,Rlim_U
r2,Rlim,0.53,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,4 µM chloramphenicol,Cloramphenicol (translational) inhibition,R2_S11_L001_R1_001.fastq,0.017340656,Rlim_U
r2_1,Rlim,0.44,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,4 µM chloramphenicol,Biological replicate of sample r2,R2_S12_L004_R1_001.fastq,0.019322754,Rlim_U
r3,Rlim,0.45,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,6 µM chloramphenicol,Cloramphenicol (translational) inhibition,R3_S12_L001_R1_001.fastq,0.018556734,Rlim_U
r3_1,Rlim,0.35,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,6 µM chloramphenicol,Biological replicate of sample r3,R3_S13_L004_R1_001.fastq,0.019451881,Rlim_U
r4,Rlim,0.4,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,8 µM chloramphenicol,Cloramphenicol (translational) inhibition,R4_S13_L001_R1_001.fastq,0.018591392,Rlim_U
r4_1,Rlim,0.28,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,8 µM chloramphenicol,Biological replicate of sample r4,R4_S14_L004_R1_001.fastq,0.020260702,Rlim_U
r5,Rlim,0.38,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,9 µM chloramphenicol,Cloramphenicol (translational) inhibition,R5_S14_L001_R1_001.fastq,0.018740019,Rlim_U
r0,Rlim,0.89,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,,NCM3722 (wild type) in MOPS medium,R0_S9_L001_R1_001.fastq,0.00684699,Rlim_V
r0_1,Rlim,0.91,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,,Biological replicate of sample r0,R0_S10_L004_R1_001.fastq,0.006782984,Rlim_V
r1,Rlim,0.71,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,2 µM chloramphenicol,Cloramphenicol (translational) inhibition,R1_S10_L001_R1_001.fastq,0.006089141,Rlim_V
r1_1,Rlim,0.61,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,2 µM chloramphenicol,Biological replicate of sample r1,R1_S11_L004_R1_001.fastq,0.00548304,Rlim_V
r2,Rlim,0.53,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,4 µM chloramphenicol,Cloramphenicol (translational) inhibition,R2_S11_L001_R1_001.fastq,0.005613608,Rlim_V
r2_1,Rlim,0.44,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,4 µM chloramphenicol,Biological replicate of sample r2,R2_S12_L004_R1_001.fastq,0.005148299,Rlim_V
r3,Rlim,0.45,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,6 µM chloramphenicol,Cloramphenicol (translational) inhibition,R3_S12_L001_R1_001.fastq,0.005457093,Rlim_V
r3_1,Rlim,0.35,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,6 µM chloramphenicol,Biological replicate of sample r3,R3_S13_L004_R1_001.fastq,0.005098644,Rlim_V
r4,Rlim,0.4,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,8 µM chloramphenicol,Cloramphenicol (translational) inhibition,R4_S13_L001_R1_001.fastq,0.005902067,Rlim_V
r4_1,Rlim,0.28,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,8 µM chloramphenicol,Biological replicate of sample r4,R4_S14_L004_R1_001.fastq,0.004960273,Rlim_V
r5,Rlim,0.38,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,9 µM chloramphenicol,Cloramphenicol (translational) inhibition,R5_S14_L001_R1_001.fastq,0.005944889,Rlim_V
r0,Rlim,0.89,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,,NCM3722 (wild type) in MOPS medium,R0_S9_L001_R1_001.fastq,1.42E-05,Rlim_W
r0_1,Rlim,0.91,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,,Biological replicate of sample r0,R0_S10_L004_R1_001.fastq,1.94E-05,Rlim_W
r1,Rlim,0.71,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,2 µM chloramphenicol,Cloramphenicol (translational) inhibition,R1_S10_L001_R1_001.fastq,1.72E-05,Rlim_W
r1_1,Rlim,0.61,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,2 µM chloramphenicol,Biological replicate of sample r1,R1_S11_L004_R1_001.fastq,1.74E-05,Rlim_W
r2,Rlim,0.53,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,4 µM chloramphenicol,Cloramphenicol (translational) inhibition,R2_S11_L001_R1_001.fastq,1.83E-05,Rlim_W
r2_1,Rlim,0.44,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,4 µM chloramphenicol,Biological replicate of sample r2,R2_S12_L004_R1_001.fastq,1.95E-05,Rlim_W
r3,Rlim,0.45,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,6 µM chloramphenicol,Cloramphenicol (translational) inhibition,R3_S12_L001_R1_001.fastq,1.72E-05,Rlim_W
r3_1,Rlim,0.35,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,6 µM chloramphenicol,Biological replicate of sample r3,R3_S13_L004_R1_001.fastq,2.29E-05,Rlim_W
r4,Rlim,0.4,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,8 µM chloramphenicol,Cloramphenicol (translational) inhibition,R4_S13_L001_R1_001.fastq,2.08E-05,Rlim_W
r4_1,Rlim,0.28,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,8 µM chloramphenicol,Biological replicate of sample r4,R4_S14_L004_R1_001.fastq,2.57E-05,Rlim_W
r5,Rlim,0.38,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,9 µM chloramphenicol,Cloramphenicol (translational) inhibition,R5_S14_L001_R1_001.fastq,1.99E-05,Rlim_W
r0,Rlim,0.89,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,,NCM3722 (wild type) in MOPS medium,R0_S9_L001_R1_001.fastq,0.000335958,Rlim_X
r0_1,Rlim,0.91,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,,Biological replicate of sample r0,R0_S10_L004_R1_001.fastq,0.000322594,Rlim_X
r1,Rlim,0.71,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,2 µM chloramphenicol,Cloramphenicol (translational) inhibition,R1_S10_L001_R1_001.fastq,0.00038449,Rlim_X
r1_1,Rlim,0.61,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,2 µM chloramphenicol,Biological replicate of sample r1,R1_S11_L004_R1_001.fastq,0.000410543,Rlim_X
r2,Rlim,0.53,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,4 µM chloramphenicol,Cloramphenicol (translational) inhibition,R2_S11_L001_R1_001.fastq,0.000428376,Rlim_X
r2_1,Rlim,0.44,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,4 µM chloramphenicol,Biological replicate of sample r2,R2_S12_L004_R1_001.fastq,0.000373348,Rlim_X
r3,Rlim,0.45,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,6 µM chloramphenicol,Cloramphenicol (translational) inhibition,R3_S12_L001_R1_001.fastq,0.000396772,Rlim_X
r3_1,Rlim,0.35,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,6 µM chloramphenicol,Biological replicate of sample r3,R3_S13_L004_R1_001.fastq,0.000406206,Rlim_X
r4,Rlim,0.4,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,8 µM chloramphenicol,Cloramphenicol (translational) inhibition,R4_S13_L001_R1_001.fastq,0.000445047,Rlim_X
r4_1,Rlim,0.28,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,8 µM chloramphenicol,Biological replicate of sample r4,R4_S14_L004_R1_001.fastq,0.000374775,Rlim_X
r5,Rlim,0.38,NCM3722,MOPS,0.2% glucose,10 mM NH4Cl,9 µM chloramphenicol,Cloramphenicol (translational) inhibition,R5_S14_L001_R1_001.fastq,0.000426377,Rlim_X
